"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MA1","OD1","REM","EQD"
"04301099999","2017-01-04T02:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","130,1,N,0026,1","99999,9,9,N","999999,9,9,9","-0228,1","-0254,1","10138,1","99999,9,10133,1",,"SYN04204301 46/// /1305 11228 21254 30133 40138=",
"04301099999","2017-01-04T03:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","170,1,N,0010,1","99999,9,9,N","999999,9,9,9","-0218,1","-0261,1","10129,1","99999,9,10124,1",,"SYN04204301 46/// /1702 11218 21261 30124 40129=",
"04301099999","2017-01-04T04:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","130,1,N,0021,1","99999,9,9,N","999999,9,9,9","-0233,1","-0271,1","10119,1","99999,9,10114,1",,"SYN04204301 46/// /1304 11233 21271 30114 40119=",
"04301099999","2017-01-04T05:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","120,1,N,0005,1","99999,9,9,N","999999,9,9,9","-0207,1","-0265,1","10107,1","99999,9,10102,1",,"SYN04204301 46/// /1201 11207 21265 30102 40107=",
"04301099999","2017-01-04T06:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","360,1,N,0015,1","99999,9,9,N","999999,9,9,9","-0200,1","-0230,1","10097,1","99999,9,10092,1",,"SYN04204301 46/// /3603 11200 21230 30092 40097=",
"04301099999","2017-01-04T07:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","130,1,N,0031,1","99999,9,9,N","999999,9,9,9","-0237,1","-0262,1","10086,1","99999,9,10081,1",,"SYN04204301 46/// /1306 11237 21262 30081 40086=",
"04301099999","2017-01-04T08:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","120,1,N,0021,1","99999,9,9,N","999999,9,9,9","-0238,1","-0261,1","10072,1","99999,9,10067,1",,"SYN04204301 46/// /1204 11238 21261 30067 40072=",
"04301099999","2017-01-04T09:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","130,1,N,0031,1","99999,9,9,N","999999,9,9,9","-0240,1","-0266,1","10059,1","99999,9,10054,1",,"SYN04204301 46/// /1306 11240 21266 30054 40059=",
"04301099999","2017-01-04T10:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","150,1,N,0021,1","99999,9,9,N","999999,9,9,9","-0230,1","-0258,1","10048,1","99999,9,10043,1",,"SYN04204301 46/// /1504 11230 21258 30043 40048=",
"04301099999","2017-01-04T11:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","080,1,N,0026,1","99999,9,9,N","999999,9,9,9","-0244,1","-0268,1","10041,1","99999,9,10036,1",,"SYN04204301 46/// /0805 11244 21268 30036 40041=",
